gene,Time,group,Signal,P-Value,Tissue,Replicate,,
HsfB4,1,Control,843.83,0.002,,,,
HsfB4,1,Control,1035.55,0.002,,,,
HsfB4,3,Control,1220.35,0.002,,,,
HsfB4,3,Control,1294.30,0.002,,,,
HsfB4,6,Control,1170.91,0.002,,,,
HsfB4,6,Control,793.44,0.002,,,,
HsfB4,12,Control,1432.75,0.002,,,,
HsfB4,12,Control,1320.86,0.002,,,,
HsfB4,24,Control,1085.57,0.002,,,,
HsfB4,24,Control,1202.36,0.002,,,,
HsfB4,0.5,Heat,1395.29,0.002,,,,
HsfB4,0.5,Heat,1203.89,0.002,,,,
HsfB4,1,Heat,1188.23,0.002,,,,
HsfB4,1,Heat,1223.85,0.002,,,,
HsfB4,3,Heat,2398.29,0.002,,,,
HsfB4,3,Heat,2628.55,0.002,,,,
HsfB4,6,Heat,1012.36,0.002,,,,
HsfB4,6,Heat,822.51,0.002,,,,
HsfB4,12,Heat,787.88,0.002,,,,
HsfB4,12,Heat,797.35,0.002,,,,
HsfB4,24,Heat,831.82,0.002,,,,
HsfB4,24,Heat,914.59,0.002,,,,
HsfA1e,0.5,Control,269.11,0.008,,,,
HsfA1e,0.5,Control,217.62,0.005,,,,
HsfA1e,1,Control,255.75,0.016,,,,
HsfA1e,1,Control,273.50,0.005,,,,
HsfA1e,3,Control,276.23,0.013,,,,
HsfA1e,3,Control,269.50,0.006,,,,
HsfA1e,6,Control,290.15,0.013,,,,
HsfA1e,6,Control,290.00,0.006,,,,
HsfA1e,12,Control,241.02,0.008,,,,
HsfA1e,12,Control,280.17,0.006,,,,
HsfA1e,24,Control,298.22,0.006,,,,
HsfA1e,24,Control,240.74,0.010,,,,
HsfA1e,0.5,Heat,232.82,0.010,,,,
HsfA1e,0.5,Heat,296.67,0.013,,,,
HsfA1e,1,Heat,293.07,0.008,,,,
HsfA1e,1,Heat,287.68,0.006,,,,
HsfA1e,3,Heat,490.91,0.003,,,,
HsfA1e,3,Heat,565.53,0.002,,,,
HsfA1e,6,Heat,265.64,0.010,,,,
HsfA1e,6,Heat,296.38,0.010,,,,
HsfA1e,12,Heat,770.60,0.002,,,,
HsfA1e,12,Heat,674.56,0.004,,,,
HsfA1e,24,Heat,365.96,0.004,,,,
HsfA1e,24,Heat,270.09,0.008,,,,
HsfB2b,0.5,Control,303.25,0.002,,,,
HsfB2b,0.5,Control,224.57,0.008,,,,
HsfB2b,1,Control,282.09,0.002,,,,
HsfB2b,1,Control,246.19,0.002,,,,
HsfB2b,3,Control,278.55,0.004,,,,
HsfB2b,3,Control,313.38,0.003,,,,
HsfB2b,6,Control,225.86,0.020,,,,
HsfB2b,6,Control,244.40,0.008,,,,
HsfB2b,12,Control,371.03,0.002,,,,
HsfB2b,12,Control,297.83,0.003,,,,
HsfB2b,24,Control,413.41,0.002,,,,
HsfB2b,24,Control,411.56,0.002,,,,
HsfB2b,0.5,Heat,1572.68,0.002,,,,
HsfB2b,0.5,Heat,1471.47,0.002,,,,
HsfB2b,1,Heat,2952.55,0.002,,,,
HsfB2b,1,Heat,3221.90,0.002,,,,
HsfB2b,3,Heat,4093.07,0.002,,,,
HsfB2b,3,Heat,3823.17,0.002,,,,
HsfB2b,6,Heat,165.82,0.045,,,,
HsfB2b,6,Heat,221.10,0.037,,,,
HsfB2b,12,Heat,287.75,0.002,,,,
HsfB2b,12,Heat,410.98,0.002,,,,
HsfB2b,24,Heat,330.21,0.010,,,,
HsfB2b,24,Heat,297.89,0.002,,,,
HsfB2a,0.5,Control,948.34,0.005,,,,
HsfB2a,0.5,Control,968.36,0.006,,,,
HsfB2a,1,Control,1176.91,0.004,,,,
HsfB2a,1,Control,914.07,0.008,,,,
HsfB2a,3,Control,1007.67,0.004,,,,
HsfB2a,3,Control,1086.72,0.004,,,,
HsfB2a,6,Control,755.89,0.020,,,,
HsfB2a,6,Control,815.49,0.006,,,,
HsfB2a,12,Control,962.22,0.006,,,,
HsfB2a,12,Control,1068.07,0.005,,,,
HsfB2a,24,Control,928.21,0.004,,,,
HsfB2a,24,Control,960.44,0.008,,,,
HsfB2a,0.5,Heat,1727.66,0.002,,,,
HsfB2a,0.5,Heat,2184.11,0.004,,,,
HsfB2a,1,Heat,6928.91,0.002,,,,
HsfB2a,1,Heat,7132.16,0.002,,,,
HsfB2a,3,Heat,5722.25,0.002,,,,
HsfB2a,3,Heat,5750.85,0.002,,,,
HsfB2a,6,Heat,1000.50,0.008,,,,
HsfB2a,6,Heat,1012.02,0.008,,,,
HsfB2a,12,Heat,2135.24,0.002,,,,
HsfB2a,12,Heat,2162.08,0.004,,,,
HsfB2a,24,Heat,1144.22,0.004,,,,
HsfB2a,24,Heat,1242.64,0.005,,,,
HsfB1,0.5,Control,4106.67,0.002,,,,
HsfB1,0.5,Control,4481.16,0.002,,,,
HsfB1,1,Control,3565.41,0.002,,,,
HsfB1,1,Control,3625.89,0.002,,,,
HsfB1,3,Control,4894.22,0.002,,,,
HsfB1,3,Control,4749.21,0.002,,,,
HsfB1,6,Control,4659.25,0.002,,,,
HsfB1,6,Control,3236.54,0.002,,,,
HsfB1,12,Control,5662.03,0.002,,,,
HsfB1,12,Control,5470.87,0.002,,,,
HsfB1,24,Control,4237.14,0.002,,,,
HsfB1,24,Control,5470.14,0.002,,,,
HsfB1,0.5,Heat,6699.25,0.002,,,,
HsfB1,0.5,Heat,8555.60,0.002,,,,
HsfB1,1,Heat,27493.23,0.002,,,,
HsfB1,1,Heat,24040.37,0.002,,,,
HsfB1,3,Heat,29080.63,0.002,,,,
HsfB1,3,Heat,28266.44,0.002,,,,
HsfB1,6,Heat,3919.95,0.002,,,,
HsfB1,6,Heat,4338.55,0.002,,,,
HsfB1,12,Heat,8030.22,0.002,,,,
HsfB1,12,Heat,7161.85,0.002,,,,
HsfB1,24,Heat,4496.83,0.002,,,,
HsfB1,24,Heat,4375.48,0.002,,,,
Hsp90-6,0.5,Control,3371.25,0.002,,,,
Hsp90-6,0.5,Control,3112.06,0.002,,,,
Hsp90-6,1,Control,3238.19,0.002,,,,
Hsp90-6,1,Control,3037.27,0.002,,,,
Hsp90-6,3,Control,3416.58,0.002,,,,
Hsp90-6,3,Control,3418.70,0.002,,,,
Hsp90-6,6,Control,3012.52,0.002,,,,
Hsp90-6,6,Control,2902.92,0.002,,,,
Hsp90-6,12,Control,4614.25,0.002,,,,
Hsp90-6,12,Control,4493.63,0.002,,,,
Hsp90-6,24,Control,4206.63,0.002,,,,
Hsp90-6,24,Control,3279.16,0.002,,,,
Hsp90-6,0.5,Heat,4174.97,0.002,,,,
Hsp90-6,0.5,Heat,4295.43,0.002,,,,
Hsp90-6,1,Heat,12624.52,0.002,,,,
Hsp90-6,1,Heat,11420.31,0.002,,,,
Hsp90-6,3,Heat,17003.43,0.002,,,,
Hsp90-6,3,Heat,17742.49,0.002,,,,
Hsp90-6,6,Heat,2016.14,0.002,,,,
Hsp90-6,6,Heat,2622.24,0.002,,,,
Hsp90-6,12,Heat,3837.55,0.002,,,,
Hsp90-6,12,Heat,4531.92,0.002,,,,
